#x           y      xlow        xhigh       ylow   yhigh
158099.      3.7    16315.      16314.      0.     0.1
1227710.     3.1    263580.     263580.     0.6    0.6
774633.      3.7    166308.     166309.     0.4    0.3
9227760.     38.9   1941510.    1941540.    0.     0.
1049770.     3.8    236008.     236020.     0.2    0.2
1194890.     2.6    149070.     149070.     0.1    0.1
37429400.    16.1   1218900.    1218800.    0.     0.1
1741430.     0.8    111560.     111570.     0.     0.
115386.      2.2    31962.4     31961.      0.2    0.1
11831300.    3.6    3094270.    3094300.    0.     0.
6154780.     6.8    987680.     987680.     1.5    0.5
3237070.     1.3    756070.     756060.     0.1    0.
1004970.     1.9    229273.     229270.     0.     0.
849369.      1.3    182354.     182351.     0.1    0.
3619430.     1.2    1297290.    1297290.    0.     0.
2595080.     1.3    606120.     606120.     0.1    0.1
78004000.    2.7    2023600.    2023600.    0.     0.
7224810.     4.7    2505080.    2505080.    0.1    0.2
4431780.     1.3    3345760.    3345760.    0.     0.1
46773100.    1.7    28923600.   28923600.   1.6    0.
2382850.     13.9   511580.     511580.     1.2    1.8
17611900.    3.9    9209290.    9209200.    0.     0.1
4256930.     3.5    895650.     895650.     0.     0.
32517500.    5.8    1834100.    1834000.    0.     0.2
1109720.     0.6    36140.      36130.      0.     0.2
3812520.     3.6    605470.     605480.     0.     0.5
314884.      4.6    69217.      69218.      4.5    0.2
3820420.     1.5    598020.     598020.     0.     0.
173827000.   2.3    7237000.    7237000.    0.     0.
2212460.     4.4    93840.      93840.      0.1    0.
7945420.     1.1    797460.     797460.     0.     0.
5310020.     11.9   1117220.    1117220.    0.2    1.3
100952000.   42.4   4202600.    4204000.    1.6    0.
5117950.     3.2    1076810.    1076810.    0.     0.1
875289.      4.9    241617.     241621.     0.1    0.2
604082.      1.     129692.     129693.     0.1    0.1
4667630.     4.9    1002110.    1002100.    0.     0.2
8050090.     3.4    5256990.    5257010.    0.     0.1
17103900.    5.4    3598600.    3598700.    0.1    0.
152798000.   9.4    4976000.    4975000.    0.     0.
4582430.     11.3   983810.     983820.     0.     1.3
20563500.    8.4    4326600.    4326500.    0.     0.
1758780.     4.7    279310.     279320.     0.1    0.1
263937000.   14.4   27080000.   27080000.   0.     0.
3091370.     1.1    722030.     722040.     0.     0.1
9464920.     6.9    1153220.    1153180.    0.2    0.1
1790530.     2.2    163610.     163620.     0.1    0.1
